timestamp,price,regime,balance
2026-08-25T14:31:09.151665+00:00,389.94,trending,100.0
2026-08-25T14:33:32.337985+00:00,389.94,trending,100.0
2026-08-25T15:24:41.984063+00:00,396.02,trending,100.0
2026-08-25T16:09:06.083855+00:00,396.36,trending,100.0
2026-08-25T17:06:02.953283+00:00,396.56,trending,100.0
2026-08-25T17:56:51.086812+00:00,396.56,trending,100.0
2026-08-25T19:09:19.813263+00:00,397.9,trending,100.0
2026-08-25T19:56:17.628992+00:00,397.9,trending,100.0
2026-08-25T20:56:32.890994+00:00,394.5,trending,100.0
2026-08-25T21:54:02.241978+00:00,390.81,trending,100.0
2026-08-25T22:56:21.990620+00:00,392.03,trending,100.0
2026-08-25T23:49:47.767988+00:00,392.85,trending,100.0
2026-08-26T02:09:28.604439+00:00,391.07,trending,100.0
2026-08-26T03:33:27.859207+00:00,391.53,trending,49.95
2026-08-26T04:18:56.397196+00:00,390.73,trending,49.95
2026-08-26T05:05:59.904786+00:00,389.42,trending,49.95
2026-08-26T06:00:09.209218+00:00,390.74,trending,49.95
2026-08-26T07:26:22.352202+00:00,389.55,trending,49.95
2026-08-26T08:08:42.314482+00:00,390.03,trending,49.95
2026-08-26T09:12:31.209261+00:00,389.46,trending,49.95
2026-08-26T10:06:18.556794+00:00,386.78,trending,49.95
2026-08-26T11:02:18.925363+00:00,391.91,trending,49.95
2026-08-26T11:57:02.892405+00:00,391.91,trending,49.95
2026-08-26T13:34:58.839701+00:00,390.55,trending,49.95
2026-08-26T14:21:52.247770+00:00,386.86,trending,49.95
2026-08-26T16:00:31.590661+00:00,385.93,trending,49.95
