timestamp,action,price,balance,regime,reason
1779539700.0,SELL,299339.0,49.64870861787314,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779545700.0,BUY,300725.0,24.88396861787314,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779577500.0,SELL,305453.0,49.9878020629808,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779580200.0,BUY,306233.0,25.132972062980798,trending,3 bullish / 1 bearish votes (need 3) in trending regime
1779596100.0,SELL,305901.0,49.91124974099068,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779606300.0,BUY,306512.0,25.026389740990677,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779610800.0,SELL,306255.0,49.840706311630655,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779614100.0,BUY,306498.0,24.955846311630655,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779626700.0,SELL,307473.0,49.86998931165023,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779648300.0,BUY,305119.0,24.93507931165023,trending,3 bullish / 1 bearish votes (need 3) in trending regime
1779656100.0,SELL,305296.0,49.834605190536834,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1779661500.0,BUY,306311.0,25.189985190536834,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779670800.0,SELL,305710.0,49.73710762427248,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779687300.0,BUY,306396.0,25.032427624272483,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779711600.0,SELL,306092.0,49.66328510752945,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779717900.0,BUY,306427.0,24.82847510752945,trending,3 bullish / 1 bearish votes (need 3) in trending regime
1779726300.0,SELL,307027.0,49.66219579836283,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779729000.0,BUY,307432.0,24.937495798362832,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779734100.0,SELL,307177.0,49.59232882843126,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779767700.0,BUY,304508.0,24.847608828431266,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779779400.0,SELL,304635.0,49.553188395470556,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1779784800.0,BUY,304999.0,24.788448395470557,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779788700.0,SELL,304674.0,49.477372376336064,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779791100.0,BUY,306367.0,24.842762376336065,trending,3 bullish / 1 bearish votes (need 3) in trending regime
1779797400.0,SELL,305874.0,49.38859003029357,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779804900.0,BUY,307650.0,25.04427003029357,trending,3 bullish / 1 bearish votes (need 3) in trending regime
1779812700.0,SELL,303778.0,49.03417114857733,trending,0 bullish / 3 bearish votes (need 3) in trending regime
