timestamp,price,regime,balance
2026-08-25T10:11:05.940586+00:00,10004.0,ranging,100.0
2026-08-25T10:15:44.363232+00:00,10004.0,ranging,100.0
2026-08-25T13:12:05.542164+00:00,10011.0,ranging,100.0
2026-08-25T16:56:07.036503+00:00,10001.0,ranging,100.0
2026-08-25T20:46:55.742398+00:00,9930.0,ranging,100.0
2026-08-26T01:59:23.507568+00:00,9862.0,ranging,100.0
2026-08-26T04:56:33.843976+00:00,9923.0,ranging,49.95
2026-08-26T09:02:51.995373+00:00,9918.0,ranging,49.95
2026-08-26T13:17:12.060285+00:00,9905.0,ranging,49.95
2026-08-26T17:00:21.550385+00:00,9851.0,ranging,49.95
2026-08-26T23:33:35.819767+00:00,9929.0,ranging,49.95
2026-08-27T09:49:48.812267+00:00,10028.0,ranging,49.95
2026-08-27T22:16:27.595219+00:00,10055.0,ranging,49.95
2026-08-28T11:24:22.750791+00:00,10039.0,ranging,49.95
2026-08-28T22:20:58.701096+00:00,9810.0,ranging,49.95
2026-08-29T07:05:43.565358+00:00,9827.0,ranging,49.95
2026-08-29T13:50:19.848146+00:00,9831.0,ranging,49.95
2026-08-29T19:24:47.522614+00:00,9860.0,trending,49.95
2026-08-29T22:40:00.892523+00:00,9889.0,trending,49.95
2026-08-30T05:25:14.672215+00:00,9908.0,trending,49.95
2026-08-30T13:48:20.586834+00:00,9910.0,trending,49.95
2026-08-30T19:19:23.937494+00:00,10006.0,ranging,49.95
2026-08-30T22:44:41.467251+00:00,10086.0,ranging,49.95
2026-08-31T05:36:09.566640+00:00,9792.0,ranging,49.95
2026-08-31T16:10:04.190108+00:00,9975.0,ranging,49.95
2026-08-31T21:28:41.778679+00:00,9998.0,ranging,49.95
2026-09-01T05:09:38.884574+00:00,9972.0,ranging,49.95
2026-09-01T13:30:16.399658+00:00,9949.0,ranging,49.95
2026-09-01T19:24:13.429752+00:00,9926.0,ranging,49.95
2026-09-01T22:37:05.511538+00:00,9807.0,ranging,49.95
2026-09-02T04:35:16.113597+00:00,9774.0,ranging,49.95
2026-09-02T12:46:46.406834+00:00,9649.0,ranging,49.95
2026-09-02T19:23:18.581146+00:00,9670.0,trending,49.95
2026-09-02T22:39:20.539960+00:00,9669.0,trending,49.95
2026-09-03T04:34:14.335465+00:00,9703.0,trending,49.95
2026-09-03T12:50:02.215407+00:00,9744.0,trending,49.95
2026-09-03T19:18:01.952479+00:00,10100.0,trending,49.95
2026-09-03T22:35:26.023719+00:00,10105.0,trending,49.95
2026-09-04T04:34:26.522610+00:00,10074.0,trending,49.95
2026-09-04T12:43:58.041116+00:00,10156.0,trending,49.95
2026-09-04T18:59:33.248102+00:00,9897.0,trending,49.95
2026-09-04T22:21:25.005068+00:00,9912.0,trending,49.95
