timestamp,open,high,low,close,volume
1756641600,865.98,866.3,862.38,865.99,78.576
1756645200,866.26,866.26,861.02,861.14,40.5992
1756648800,861.55,867.93,860.01,867.01,93.4521
1756652400,867.01,869.33,866.44,869.0,91.1531
1756656000,869.0,871.28,868.99,871.28,101.4782
1756659600,871.28,872.0,871.28,872.0,20.8914
1756663200,873.48,873.5,872.81,872.83,10.6447
1756666800,872.83,874.5,872.03,872.03,30.4108
1756670400,872.86,872.87,872.0,872.0,16.4385
1756674000,872.36,873.05,871.02,873.05,23.3501
1756677600,872.21,874.73,868.65,868.65,67.3422
1756681200,868.65,868.66,856.01,857.19,173.3552
1756684800,857.18,857.3,848.31,857.01,513.3223
1756688400,857.0,862.37,856.09,858.4,231.1078
1756692000,858.02,858.4,842.0,843.96,389.0736
1756695600,843.92,848.0,842.78,848.0,163.5099
1756699200,847.99,847.99,843.0,843.19,214.0291
1756702800,843.19,849.26,841.02,847.0,196.9273
1756706400,846.85,850.24,845.78,850.22,73.0404
1756710000,850.22,863.27,847.02,863.27,207.0644
1756713600,863.28,869.98,863.28,865.01,188.1088
1756717200,865.69,867.54,858.45,858.45,199.4336
1756720800,858.48,858.71,848.08,850.01,99.4556
1756724400,850.42,851.09,850.01,850.38,68.8929
1756728000,850.38,854.82,850.38,853.02,75.953
1756731600,853.01,857.29,852.01,852.01,32.6264
1756735200,854.65,856.75,851.33,854.98,79.7384
1756738800,854.27,857.95,848.0,848.0,98.9095
1756742400,848.02,850.37,847.0,848.97,71.1479
1756746000,849.12,851.03,847.4,849.11,49.4925
1756749600,851.39,852.0,850.58,852.0,12.4087
1756753200,852.0,853.99,852.0,853.73,6.2256
1756756800,853.43,853.43,843.2,844.99,138.0647
1756760400,844.99,845.0,836.01,836.09,394.9311
1756764000,836.52,840.02,836.46,840.02,218.4892
1756767600,840.02,844.34,840.02,843.95,61.364
1756771200,844.99,845.81,842.67,842.99,100.8234
1756774800,842.98,850.0,842.01,848.72,202.6809
1756778400,848.3,858.5,847.25,858.5,155.5238
1756782000,858.69,861.0,854.89,857.7,168.9691
1756785600,857.62,860.0,857.61,860.0,82.1329
1756789200,860.98,861.99,859.19,861.98,80.4636
1756792800,861.99,865.7,861.98,865.17,124.7061
1756796400,865.28,865.28,858.1,858.1,112.2498
1756800000,858.14,864.97,858.14,863.45,137.2637
1756803600,862.44,865.68,862.43,865.45,29.23
1756807200,865.46,865.46,863.64,863.98,18.6699
1756810800,863.99,863.99,859.48,859.48,52.0583
1756814400,859.49,859.49,843.01,843.78,444.88
1756818000,844.11,864.99,844.11,864.99,233.5302
1756821600,864.99,867.45,860.64,864.99,224.0584
1756825200,865.28,865.99,849.02,849.02,441.5142
1756828800,849.78,856.14,849.02,854.96,56.5484
1756832400,854.89,868.89,854.89,868.63,102.4204
1756836000,868.64,872.99,863.44,872.97,149.3449
1756839600,872.97,874.75,869.49,870.0,68.9016
1756843200,870.54,878.78,869.91,876.42,260.1964
1756846800,877.04,877.99,876.19,877.56,24.5229
1756850400,877.54,880.15,876.02,880.15,221.6041
1756854000,881.0,884.78,880.4,884.77,323.7714
1756857600,884.18,887.15,882.5,882.5,398.6257
1756861200,882.51,895.0,879.99,895.0,446.7029
1756864800,895.0,896.0,891.86,894.27,162.9153
1756868400,894.02,895.0,887.83,890.78,68.0821
1756872000,890.0,890.25,885.74,888.88,112.3343
1756875600,888.88,889.0,885.72,885.81,64.4342
1756879200,885.92,885.92,882.77,882.95,17.4826
1756882800,883.08,886.5,882.2,886.5,130.3088
1756886400,886.85,891.0,885.37,885.37,302.2304
1756890000,887.76,887.76,882.51,885.71,71.5989
1756893600,885.72,889.91,885.72,888.95,30.2623
1756897200,888.93,892.99,888.93,891.53,94.3334
1756900800,891.52,893.65,885.73,885.74,128.1501
1756904400,885.74,899.15,885.74,895.01,289.674
1756908000,896.6,899.14,892.4,896.76,250.9757
1756911600,896.3,896.76,893.01,893.01,120.867
1756915200,894.26,895.95,887.0,887.28,158.3901
1756918800,888.0,893.98,888.0,891.44,91.1391
