timestamp,open,high,low,close,volume
1784646600,272312.0,272312.0,272311.0,272311.0,0.037995
1784646900,272311.0,272312.0,272311.0,272312.0,0.040649
1784647200,272312.0,272312.0,272311.0,272311.0,0.095075
1784647500,272310.0,272311.0,272284.0,272284.0,0.023586
1784647800,272283.0,272283.0,272000.0,272001.0,0.15159
1784648100,272001.0,272001.0,272000.0,272001.0,0.087165
1784648400,272283.0,272283.0,272001.0,272001.0,0.022487
1784648700,272001.0,272024.0,272001.0,272024.0,0.017845
1784649000,272079.0,272122.0,272079.0,272122.0,0.017301
1784649300,272082.0,272271.0,272082.0,272209.0,0.014639
1784649600,272093.0,272283.0,272051.0,272283.0,0.002138
1784649900,272305.0,272305.0,272158.0,272158.0,0.020205
1784650200,272002.0,272002.0,272001.0,272002.0,0.020027
1784650500,272000.0,272001.0,272000.0,272001.0,0.009268
1784650800,272001.0,272001.0,272001.0,272001.0,0.011865
1784651100,272001.0,272001.0,272001.0,272001.0,0.001011
1784651400,272000.0,272000.0,271726.0,271727.0,0.00831
1784651700,271727.0,272134.0,271727.0,271926.0,0.015335
1784652000,271926.0,271926.0,271863.0,271863.0,0.005915
1784652300,271601.0,271602.0,271601.0,271601.0,0.006065
1784652600,271601.0,271704.0,271601.0,271603.0,0.01504
1784652900,271920.0,271920.0,271920.0,271920.0,0.000542
1784653200,271714.0,271726.0,271639.0,271639.0,0.002575
1784653500,271625.0,271626.0,271625.0,271626.0,0.002537
1784653800,271601.0,271601.0,271601.0,271601.0,0.004499
1784654100,271600.0,271600.0,271501.0,271501.0,0.008208
1784654400,271500.0,271500.0,271500.0,271500.0,0.001847
1784654700,271501.0,271501.0,271500.0,271501.0,0.007126
1784655000,271500.0,271500.0,271500.0,271500.0,0.003008
1784655300,271500.0,271500.0,271413.0,271418.0,0.021175
1784655600,271382.0,271479.0,271381.0,271479.0,0.003955
1784655900,271000.0,271000.0,270317.0,270317.0,0.060432
1784656200,270600.0,270800.0,270542.0,270542.0,0.012205
1784656500,270411.0,270411.0,270359.0,270359.0,0.024665
1784656800,270217.0,270217.0,270217.0,270217.0,0.007401
1784657100,270344.0,270828.0,270344.0,270828.0,0.014965
1784657400,270828.0,270828.0,270828.0,270828.0,0.0
1784657700,270603.0,270603.0,270603.0,270603.0,0.001677
1784658000,270547.0,270702.0,270547.0,270702.0,0.003125
1784658300,270408.0,270425.0,270278.0,270425.0,0.027971
1784658600,270426.0,270426.0,270217.0,270413.0,0.00144
1784658900,270413.0,270413.0,270413.0,270413.0,0.0
1784659200,270413.0,270413.0,270413.0,270413.0,0.0
1784659500,270686.0,270686.0,270686.0,270686.0,0.000819
1784659800,270686.0,270686.0,270685.0,270686.0,0.023192
1784660100,270686.0,270686.0,270686.0,270686.0,0.004941
1784660400,270686.0,270686.0,270685.0,270685.0,0.007249
1784660700,270686.0,270686.0,270685.0,270685.0,0.029614
1784661000,270685.0,270685.0,270685.0,270685.0,0.022166
1784661300,270685.0,270685.0,270685.0,270685.0,0.000757
1784661600,270686.0,270686.0,270686.0,270686.0,0.003035
1784661900,270686.0,270686.0,270686.0,270686.0,0.006719
1784662200,270686.0,270686.0,270686.0,270686.0,0.0
1784662500,270687.0,270687.0,270687.0,270687.0,0.019758
1784662800,271113.0,271113.0,271113.0,271113.0,0.032335
1784663100,271113.0,271113.0,271113.0,271113.0,0.000158
1784663400,271114.0,271177.0,271114.0,271177.0,0.001583
1784663700,271177.0,271177.0,271102.0,271102.0,0.020692
1784664000,271102.0,271102.0,271102.0,271102.0,0.0
1784664300,271095.0,271129.0,271095.0,271129.0,0.025819
1784664600,271145.0,271145.0,271031.0,271031.0,0.00802
1784664900,270973.0,270973.0,270972.0,270973.0,0.019929
