timestamp,open,high,low,close,volume
1700870400,176570.0,177793.0,176110.0,177201.0,14.047955
1700956800,177201.0,177526.0,174404.0,175787.0,17.799575
1701043200,175910.0,176160.0,173600.0,175600.0,17.242265
1701129600,175716.0,178600.0,173654.0,176351.0,25.37649
1701216000,176351.0,178324.0,175913.0,176889.0,23.648036
1701302400,176889.0,178000.0,176011.0,176162.0,16.078004
1701388800,176162.0,182000.0,176161.0,180630.0,39.118202
1701475200,180631.0,184999.0,180253.0,184047.0,21.386185
1701561600,184049.0,187000.0,183007.0,186214.0,28.920555
1701648000,186214.0,196500.0,186214.0,195606.0,72.379312
1701734400,195526.0,205000.0,192914.0,204641.0,69.617092
1701820800,204642.0,205369.0,201000.0,203702.0,58.580308
1701907200,203702.0,205000.0,200003.0,200850.0,44.80803
1701993600,200866.0,206349.0,200002.0,204395.0,51.965102
1702080000,204396.0,205999.0,202000.0,203545.0,35.397397
1702166400,203547.0,205500.0,203000.0,204959.0,20.854843
1702252800,204785.0,204958.0,191070.0,193602.0,76.459325
1702339200,194041.0,199427.0,192600.0,196143.0,36.434131
1702425600,196144.0,203687.0,193000.0,201917.0,52.58841
1702512000,201525.0,202222.0,196200.0,201260.0,31.939172
1702598400,201016.0,201469.0,196410.0,197752.0,23.323135
1702684800,197753.0,200829.0,196601.0,199910.0,15.502206
1702771200,199851.0,200200.0,196556.0,196699.0,15.929286
1702857600,196699.0,201497.0,192886.0,201497.0,40.726358
1702944000,201497.0,203999.0,197571.0,199250.0,27.308689
1703030400,199303.0,205000.0,199084.0,203322.0,34.85249
1703116800,203339.0,205469.0,200500.0,202654.0,32.539476
1703203200,202654.0,204999.0,201399.0,203951.0,27.792066
1703289600,203951.0,204100.0,202000.0,202887.0,12.226316
1703376000,202888.0,204000.0,200001.0,201258.0,27.674678
1703462400,201258.0,204500.0,200000.0,202363.0,21.295162
1703548800,202600.0,202761.0,196560.0,200300.0,36.520918
1703635200,200301.0,202500.0,198000.0,201497.0,29.811994
1703721600,201497.0,202589.0,195800.0,197800.0,34.700793
1703808000,197800.0,200000.0,195300.0,197788.0,33.852585
1703894400,197787.0,199186.0,195500.0,197874.0,16.156692
1703980800,197874.0,200100.0,197009.0,198912.0,13.36742
1704067200,198911.0,203650.0,198911.0,203650.0,21.097643
1704153600,203650.0,211188.0,203649.0,208489.0,69.867846
1704240000,208001.0,210998.0,200000.0,203590.0,87.743894
1704326400,203590.0,209000.0,202080.0,207372.0,37.943988
1704412800,207494.0,208500.0,204537.0,207735.0,28.50348
1704499200,207961.0,209333.0,205000.0,208821.0,16.963074
1704585600,208821.0,210913.0,205100.0,208394.0,23.160232
1704672000,208395.0,219950.0,205000.0,218810.0,60.841791
1704758400,218833.0,222000.0,210041.0,214738.0,62.498871
1704844800,214870.0,219998.0,206101.0,216299.0,63.24511
1704931200,216002.0,225000.0,212000.0,215517.0,94.160052
1705017600,215517.0,215517.0,197500.0,201523.0,64.123746
1705104000,201524.0,203648.0,199999.0,202106.0,34.258056
1705190400,202107.0,202887.0,198300.0,198302.0,24.762718
1705276800,198301.0,203999.0,198000.0,201043.0,21.158302
1705363200,201044.0,204505.0,199001.0,203269.0,23.432828
1705449600,203268.0,203269.0,200010.0,201701.0,18.778157
1705536000,201934.0,202298.0,195500.0,198180.0,28.587036
1705622400,198322.0,198888.0,191101.0,197023.0,51.754018
1705708800,197023.0,198888.0,196527.0,198095.0,12.55864
1705795200,198099.0,199020.0,196100.0,198121.0,11.288234
1705881600,198010.0,198010.0,186000.0,186895.0,50.606302
1705968000,186846.0,190000.0,182611.0,189103.0,59.361618
1706054400,189254.0,196000.0,188094.0,190861.0,31.724016
1706140800,190861.0,191498.0,189001.0,190087.0,14.462829
